Country,Timestamp,Action,Source IP,Source Port,Destination IP,Destination Port,Protocol,Bytes Sent,Bytes Received,Threat Information
Thailand,2024/03/12 10:53:59,allow,172.25.113.132,64366,163.70.149.15,443,udp,11586,5468,"tunnel-other-application,,quic,no,no"
United States,2024/03/12 10:53:35,allow,10.1.19.74,58046,74.125.68.157,443,udp,11132,4523,"tunnel-other-application,,quic,no,no"
Sweden,2024/03/12 10:53:59,reset-both,172.25.32.226,6881,185.157.221.247,25401,udp,161,161,"""evasive-behavior,consume-big-bandwidth,used-by-malware,able-to-transfer-file,has-known-vulnerability"
Thailand,2024/03/12 10:53:43,deny,89.248.163.168,57448,202.28.46.132,50624,tcp,62,62,",,not-applicable,no,no"
Japan,2024/03/12 10:53:53,reset-both,172.25.32.226,50611,180.199.180.196,19870,tcp,1798,1065,"""evasive-behavior,consume-big-bandwidth,used-by-malware,able-to-transfer-file,has-known-vulnerability"
Thailand,2024/03/12 10:53:53,allow,182.160.15.254,0,202.28.46.8,0,icmp,204,102,"""has-known-vulnerability,tunnel-other-application,pervasive-use"",,untunneled"
United States,2024/03/12 10:53:53,allow,172.27.136.130,45060,43.153.127.15,443,tcp,8310,3234,"""used-by-malware,able-to-transfer-file,has-known-vulnerability,tunnel-other-application,pervasive-use"""
Singapore,2024/03/12 10:53:54,allow,172.25.37.61,59348,35.247.155.121,443,udp,1320,1246,"tunnel-other-application,,quic,no,no"
Asia Pacific Region,2024/03/12 10:53:57,allow,172.27.110.145,62434,20.190.163.19,443,tcp,14375,6454,"""has-known-vulnerability,pervasive-use,is-saas,is-fedramp,is-hipaa"
Asia Pacific Region,2024/03/12 10:53:54,allow,172.27.110.145,62433,20.190.163.19,443,tcp,14312,6454,"""has-known-vulnerability,pervasive-use,is-saas,is-fedramp,is-hipaa"
Asia Pacific Region,2024/03/12 10:53:54,allow,172.27.110.145,62417,20.190.163.19,443,tcp,27327,14367,"""has-known-vulnerability,pervasive-use,is-saas,is-fedramp,is-hipaa"
Asia Pacific Region,2024/03/12 10:53:54,allow,172.27.110.145,62415,20.190.163.19,443,tcp,52113,31297,"""has-known-vulnerability,pervasive-use,is-saas,is-fedramp,is-hipaa"
Asia Pacific Region,2024/03/12 10:53:53,allow,172.27.110.145,62431,20.190.163.19,443,tcp,14313,6454,"""has-known-vulnerability,pervasive-use,is-saas,is-fedramp,is-hipaa"
Asia Pacific Region,2024/03/12 10:53:53,allow,172.27.110.145,62414,20.190.163.19,443,tcp,44006,26042,"""has-known-vulnerability,pervasive-use,is-saas,is-fedramp,is-hipaa"
Asia Pacific Region,2024/03/12 10:53:49,allow,172.27.110.145,62400,20.190.163.19,443,tcp,38176,21837,"""has-known-vulnerability,pervasive-use,is-saas,is-fedramp,is-hipaa"
Asia Pacific Region,2024/03/12 10:53:48,allow,172.27.110.145,62403,20.190.163.19,443,tcp,31059,11853,"""has-known-vulnerability,pervasive-use,is-saas,is-fedramp,is-hipaa"
Asia Pacific Region,2024/03/12 10:53:47,allow,172.27.110.145,62407,20.190.163.19,443,tcp,22395,11825,"""has-known-vulnerability,pervasive-use,is-saas,is-fedramp,is-hipaa"
Asia Pacific Region,2024/03/12 10:53:46,allow,172.27.110.145,62397,20.190.163.19,443,tcp,14238,6381,"""has-known-vulnerability,pervasive-use,is-saas,is-fedramp,is-hipaa"
Asia Pacific Region,2024/03/12 10:53:40,allow,172.27.110.145,62398,20.190.163.19,443,tcp,14232,6381,"""has-known-vulnerability,pervasive-use,is-saas,is-fedramp,is-hipaa"
Asia Pacific Region,2024/03/12 10:53:37,allow,172.27.110.145,62391,20.190.163.19,443,tcp,14265,6400,"""has-known-vulnerability,pervasive-use,is-saas,is-fedramp,is-hipaa"
Asia Pacific Region,2024/03/12 10:53:37,allow,172.27.110.145,62390,20.190.163.19,443,tcp,14199,6359,"""has-known-vulnerability,pervasive-use,is-saas,is-fedramp,is-hipaa"
Asia Pacific Region,2024/03/12 10:53:19,allow,172.27.110.145,62385,20.190.163.19,443,tcp,23673,6324,"""has-known-vulnerability,pervasive-use,is-saas,is-fedramp,is-hipaa"
Iran Islamic Republic Of,2024/03/12 10:53:52,allow,10.1.29.95,56626,5.212.110.158,445,tcp,1430,1368,"""able-to-transfer-file,has-known-vulnerability,tunnel-other-application,pervasive-use"",ms-ds-smb"
Malaysia,2024/03/12 10:53:52,allow,10.1.29.95,64274,111.90.158.40,443,tcp,3681,1434,"""used-by-malware,able-to-transfer-file,has-known-vulnerability,tunnel-other-application,pervasive-use"""
Netherlands,2024/03/12 10:53:50,allow,172.25.34.55,52628,185.196.196.169,443,tcp,9754,3904,"""used-by-malware,able-to-transfer-file,has-known-vulnerability,tunnel-other-application,pervasive-use"""
